Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.7868710529804229,0.04954190880060196,0.5126840591430664,0.3018662095069885,15.603175847153441,0.4298506431281567
2,0.18686249434947969,0.02888128437101841,0.8288175690174103,0.03126350962556899,16.087232261092947,0.4681759538501501
3,0.5178540509939193,0.023170089200139046,0.6411336100101471,0.2663602065388113,16.12663830260739,0.47443424820899965
4,0.9230352544784546,0.01938202038407326,0.5553286063671112,0.4931997966766357,16.553638343889457,0.5009885013103486
5,0.9454010105133057,0.016341047286987306,0.33952337861061094,0.2921203398704529,18.44997348196794,0.5102292788028717
6,0.8565406918525695,0.01588329866528511,0.45697551250457763,0.32710642874240875,18.888130961430534,0.5131758391857147
7,0.9964935398101806,0.015805386528372763,0.6452284812927246,0.6432608366012573,17.44811504754581,0.5008355309069157
8,1.0078466057777404,0.014153755232691766,0.6678957557678222,0.6777527189254761,19.145865211968587,0.5288836877048015
9,0.9817259740829468,0.01454307310283184,0.7503394985198975,0.7265142750740051,18.52298910009011,0.5289378924667836
10,0.9841072511672974,0.014106621779501439,0.7711546802520752,0.7604706048965454,19.374481671980746,0.5423031121492385
11,0.9667725038528442,0.014872848019003869,0.8055450868606567,0.7802300548553467,19.726810545425984,0.5481757099926472
12,0.9649682188034058,0.014231487214565276,0.6898154544830323,0.6669641757011413,20.00705082972461,0.553266611546278
13,0.9461786913871765,0.013154801651835442,0.6746459460258484,0.6266312694549561,19.904049619897393,0.5475113971531391
14,0.9746843242645263,0.011759339570999146,0.8147413635253906,0.8137923741340637,20.600547657974708,0.5637406754493713
15,1.0104975390434265,0.011774087026715278,0.7390038871765137,0.7612632155418396,20.052355337877465,0.5591572779417038
16,1.0099505996704101,0.0117738176882267,0.7086155319213867,0.7201041555404664,19.244405873196357,0.5556269460916519
17,0.996364221572876,0.011915019005537033,0.5945777463912963,0.5862038588523865,20.302023764472075,0.5637709051370621
18,0.9916515612602234,0.011818610206246376,0.6433237814903259,0.6403458595275879,19.436746929812063,0.5593496099114418
19,0.9870832014083862,0.011323113217949867,0.6695717334747314,0.660296618938446,20.303532125823413,0.5629667849838733
20,0.9967858171463013,0.01150547869503498,0.7082321214675903,0.7104204416275024,19.979387181322,0.5663524216413498
